Filename,Title,Artist,Album,Year,Genre,Rating,Grouping,Mood
\\SNEMALNICA\server2k3\GLASBA31\hd 38431.MP3,???,???,GLASBA31,2012,,UNKNOWN,,
\\Player\hd player\__SLOVENSKA__\Various Artists - Klubski maraton 2018\Various Artists - Klubski maraton 2018 - 01 KM18 Popotnica.flac,KM18 POPOTNICA,KM18 POPOTNICA,KLUBSKI MARATON 2018,2018,JINGLE,JINGLE,SLOVENSKA,
"\\Player\hd player\__SLOVENSKA__\V. A. - Klubski maratotn 2018 (ZARS, 2018)\02 - Apory Museum - Age Of... (KM18).mp3",AGE OF... (KM18),APORY MUSEUM,KLUBSKI MARATON 2018,2018,INDIE,DUPLICATE DELETE,,
"\\Player\hd player\__SLOVENSKA__\V. A. - Klubski maratotn 2018 (ZARS, 2018)\02 - Apory Museum - Age Of....mp3",AGE OF...,APORY MUSEUM,KLUBSKI MARATON 2018,2018,INDIE,DUPLICATE DELETE,,
"\\Player\hd player\__SLOVENSKA__\V. A. - Klubski maratotn 2018 (ZARS, 2018)\03 - Apory Museum - The Fold (KM18).mp3",THE FOLD (KM18),APORY MUSEUM,KLUBSKI MARATON 2018,2018,INDIE,DUPLICATE DELETE,,
"\\Player\hd player\__SLOVENSKA__\V. A. - Klubski maratotn 2018 (ZARS, 2018)\03 - Apory Museum - The Fold.mp3",THE FOLD,APORY MUSEUM,KLUBSKI MARATON 2018,2018,INDIE,DUPLICATE DELETE,,
"\\Player\hd player\__SLOVENSKA__\V. A. - Klubski maratotn 2018 (ZARS, 2018)\04 - Balans - Na isti strani reke (KM18).mp3",NA ISTI STRANI REKE (KM18),BALANS,KLUBSKI MARATON 2018,2018,INDIE,DUPLICATE DELETE,,
"\\Player\hd player\__SLOVENSKA__\V. A. - Klubski maratotn 2018 (ZARS, 2018)\04 - Balans - Na isti strani reke.mp3",NA ISTI STRANI REKE,BALANS,KLUBSKI MARATON 2018,2018,INDIE,DUPLICATE DELETE,,
"\\Player\hd player\__SLOVENSKA__\V. A. - Klubski maratotn 2018 (ZARS, 2018)\05 - Balans - V vrsti stojim (KM18).mp3",V VRSTI STOJIM (KM18),BALANS,KLUBSKI MARATON 2018,2018,INDIE,DUPLICATE DELETE,,
"\\Player\hd player\__SLOVENSKA__\V. A. - Klubski maratotn 2018 (ZARS, 2018)\05 - Balans - V vrsti stojim.mp3",V VRSTI STOJIM,BALANS,KLUBSKI MARATON 2018,2018,INDIE,DUPLICATE DELETE,,
"\\Player\hd player\__SLOVENSKA__\V. A. - Klubski maratotn 2018 (ZARS, 2018)\06 - Baltazar - Animal Transistor (KM18).mp3",ANIMAL TRANSISTOR (KM18),BALTAZAR,KLUBSKI MARATON 2018,2018,ALTERNATIVE,DUPLICATE DELETE,,
"\\Player\hd player\__SLOVENSKA__\V. A. - Klubski maratotn 2018 (ZARS, 2018)\06 - Baltazar - Animal Transistor.mp3",ANIMAL TRANSISTOR,BALTAZAR,KLUBSKI MARATON 2018,2018,ALTERNATIVE,DUPLICATE DELETE,,
